formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh,material_id
MgAlPd2,124.171,124.171,124.171,mp-865152
MgAsPt5,182.583,182.235,182.409,mp-865146
HfPd5,167.065,167.022,167.044,mp-865166
Ca2CdPb,32.385,32.385,32.385,mp-865167
MgGeRh2,162.451,162.451,162.451,mp-865162
MgFeRh2,154.144,154.144,154.144,mp-865187
MgGaIr2,187.256,187.256,187.256,mp-865186
FeGeRu2,223.605,223.605,223.605,mp-865191
MgGaAg2,68.65,68.65,68.65,mp-865183
HfCdRh2,169.501,169.501,169.501,mp-865174
MgAlRh2,155.745,155.745,155.745,mp-865155
HfScCo2,138.178,138.178,138.178,mp-865165
Mg(BeAs)2,76.299,75.915,76.107,mp-865185
Hf2FeOs,201.248,201.248,201.248,mp-865179
HfBeRh2,189.784,189.784,189.784,mp-865163
YbHg3,38.49,38.464,38.477,mp-865171
YbTaRu2,171.591,171.591,171.591,mp-865172
TmGaRh2,147.294,147.294,147.294,mp-865195
TmF3,152.56,151.575,152.068,mp-865194
TmInRh2,134.846,134.846,134.846,mp-865211
Co3Pt,211.842,211.764,211.803,mp-865193
Dy2PdRu,104.247,104.247,104.247,mp-865216
Th2BiTe,80.336,80.336,80.336,mp-865224
TmMgRh2,116.23,116.23,116.23,mp-865230
TaZnRu2,226.089,226.089,226.089,mp-865234
TmCdRh2,127.101,127.101,127.101,mp-865206
Be2NiIr,231.437,231.437,231.437,mp-865229
Ti6Al16Ni7,128.39,128.39,128.39,mp-865235
TmHfRu2,161.823,161.823,161.823,mp-865215
LiScTl2,44.718,44.718,44.718,mp-865231
DyZnRh2,129.806,129.806,129.806,mp-865257
TmSnRu2,153.366,153.366,153.366,mp-865249
NbAlFe2,209.082,209.082,209.082,mp-865280
Lu2MgIn,55.4,55.4,55.4,mp-865240
LuNbRu2,182.535,182.535,182.535,mp-865255
TbYbHg2,52.205,52.205,52.205,mp-865254
Tm2AgRu,96.69,96.69,96.69,mp-865282
TmNbRu2,179.898,179.898,179.898,mp-865248
TmTaRu2,188.12,188.12,188.12,mp-865262
NbAlOs2,260.723,260.723,260.723,mp-865278
UTlO3,132.86,132.86,132.86,mp-865322
Ho2InAg,65.284,65.284,65.284,mp-865297
Lu2IrRu,137.722,137.722,137.722,mp-865321
Zn3Rh,129.2,128.081,128.64,mp-865342
Lu2PdRu,115.779,115.779,115.779,mp-865320
Lu2CoRu,118.848,118.848,118.848,mp-865325
TmZnRh2,135.447,135.447,135.447,mp-865299
Be2CuRh,171.518,171.518,171.518,mp-865308
Zn3Pd,111.553,110.713,111.133,mp-865357
TmI3,5.311,0.161,2.736,mp-865353
YMg3,43.03,43.03,43.03,mp-865376
DyTaRu2,181.822,181.822,181.822,mp-865364
Zn3Pt,137.153,137.066,137.109,mp-865355
V3Ru,221.654,221.654,221.654,mp-865382
Tm2MgGe2,76.437,76.325,76.381,mp-865403
Zn3Ir,146.399,146.313,146.356,mp-865362
LuSnRu2,156.439,156.439,156.439,mp-865379
TmAlCu,85.693,85.689,85.691,mp-865402
ThPt3,175.105,174.393,174.749,mp-865400
YCo,55.122,51.737,53.429,mp-865373
V3Re,233.519,233.519,233.519,mp-865385
Tm2MgAl,58.554,58.554,58.554,mp-865356
LiSc2Pt,89.908,89.908,89.908,mp-865444
TiAlPd2,158.18,158.18,158.18,mp-865441
LuZrRu2,156.979,156.979,156.979,mp-865434
YTe,60.257,58.085,59.171,mp-865430
Lu2AgHg,73.413,73.413,73.413,mp-865446
Pm2SiPd,75.342,75.342,75.342,mp-865468
V2CrOs,261.007,261.007,261.007,mp-865485
VGaTc2,229.778,229.778,229.778,mp-865471
